#{"t_start": 1789385749.8017635, "env_id": "None"}
r,l,t
13183.261664,5000,727.264886
14525.631759,5000,732.021918
14746.008726,5000,736.81338
14744.080118,5000,742.450205
14749.47316,5000,747.256792
14745.704151,5000,752.887367
14729.967161,5000,757.568399
14645.423698,5000,763.189067
14236.156802,5000,767.828956
14694.707469,5000,772.557703
14733.422749,5000,778.186895
14746.520542,5000,782.787035
14727.184351,5000,788.315805
14532.599085,5000,792.992399
14708.605172,5000,798.544454
14718.361545,5000,803.204371
14736.141493,5000,808.745028
14776.423826,5000,813.403023
14718.099101,5000,818.122774
14744.784341,5000,824.153513
14791.716092,5000,828.771616
14744.891046,5000,834.272814
14778.750004,5000,838.934171
14791.701678,5000,844.514645
14789.697834,5000,849.144111
14685.08476,5000,854.57673
14753.905194,5000,859.258697
14663.367113,5000,863.89643
14749.696836,5000,869.436298
14676.279712,5000,874.075452
14723.30642,5000,879.592833
14808.7333,5000,884.248603
14800.444218,5000,889.77662
14676.038921,5000,894.422711
14678.657348,5000,899.949882
14638.872041,5000,904.624136
14701.805683,5000,909.319253
14608.31244,5000,914.911711
14628.069312,5000,919.60216
13912.061928,5000,925.183607
14559.757689,5000,930.084648
14135.006206,5000,935.612423
14668.401532,5000,940.265842
14680.222006,5000,944.993433
14578.018206,5000,950.623825
14287.829237,5000,955.273919
14669.996992,5000,960.800791
14611.336582,5000,965.438939
14517.566032,5000,970.903121
14485.451119,5000,975.536116
14161.086106,5000,981.064003
14674.058086,5000,985.846989
14661.085623,5000,990.502236
14650.905467,5000,995.994693
14688.599659,5000,1000.675033
14643.445661,5000,1006.203131
14620.958618,5000,1010.814549
14702.97171,5000,1016.350084
14566.03667,5000,1021.030007
14676.592606,5000,1026.57778
14633.878611,5000,1031.298343
14702.142373,5000,1036.371232
14674.828074,5000,1042.069753
14605.254522,5000,1046.76005
14664.330895,5000,1052.376114
14720.72984,5000,1057.056404
14674.02912,5000,1062.757096
14533.683445,5000,1067.709397
14586.770821,5000,1073.200474
14700.862026,5000,1077.84246
14670.766172,5000,1082.500571
14788.238755,5000,1087.869724
14777.433351,5000,1092.451202
14781.468587,5000,1097.89416
14786.52916,5000,1102.472606
14707.547757,5000,1107.935685
14721.042413,5000,1112.573074
14715.004781,5000,1117.140249
14765.075007,5000,1122.518919
14766.427556,5000,1127.113655
14762.551002,5000,1132.596221
14802.765816,5000,1137.255707
14754.306621,5000,1142.954499
14795.719488,5000,1147.951147
14785.602479,5000,1153.337922
14792.987466,5000,1157.958712
14798.709413,5000,1162.523415
14784.693,5000,1167.995418
14766.716675,5000,1172.540453
14736.789184,5000,1177.945305
14778.988186,5000,1182.533937
14734.000391,5000,1187.962644
14770.565192,5000,1192.532868
14714.966374,5000,1197.868494
14776.163744,5000,1202.403558
14788.742567,5000,1206.999624
14784.394252,5000,1212.471267
14796.36166,5000,1217.104038
14805.429856,5000,1222.543647
14783.202062,5000,1227.179538
14811.938184,5000,1232.704964
14791.484736,5000,1237.405004
14809.450563,5000,1242.82567
14804.289307,5000,1247.515364
14799.785826,5000,1252.431729
14812.025472,5000,1257.804997
14756.376506,5000,1262.380414
14812.901495,5000,1267.865783
14792.345929,5000,1272.579017
14804.825341,5000,1277.94304
14807.443498,5000,1282.565639
14804.303893,5000,1287.113992
14809.085064,5000,1292.641022
14802.657204,5000,1297.242745
14794.002773,5000,1302.683016
14811.654742,5000,1307.258586
14808.346543,5000,1312.740727
14816.896876,5000,1317.324901
14798.995761,5000,1322.770772
14809.191624,5000,1327.458517
14805.780525,5000,1332.056773
14801.491225,5000,1337.496406
14818.645154,5000,1342.13448
14819.234683,5000,1347.771025
14820.252897,5000,1352.399009
14817.400176,5000,1357.986043
14816.860539,5000,1362.874794
14819.144503,5000,1368.265203
14816.491149,5000,1372.877397
14815.122125,5000,1377.438655
14819.042186,5000,1382.896933
14816.453232,5000,1387.413793
14789.210445,5000,1392.822691
14788.915979,5000,1397.439875
14777.368661,5000,1402.934175
14810.510254,5000,1407.521408
14783.69852,5000,1412.940219
14800.521463,5000,1417.523735
14811.229946,5000,1422.110921
14800.791549,5000,1427.57453
14799.915537,5000,1432.067469
14807.159602,5000,1437.453396
14806.025301,5000,1442.04366
14790.024725,5000,1447.502297
14807.206401,5000,1452.100737
14797.751239,5000,1457.468895
14795.417791,5000,1462.180275
14795.612372,5000,1467.331848
14767.49018,5000,1472.79313
14794.398286,5000,1477.41401
14801.349652,5000,1482.832516
14800.438949,5000,1487.470889
14764.533534,5000,1492.921071
14800.082714,5000,1497.450484
14804.26939,5000,1502.01169
14808.907725,5000,1507.346226
14803.93399,5000,1512.015256
14796.81061,5000,1517.464076
14803.86826,5000,1522.089929
14787.454121,5000,1527.497473
14802.10819,5000,1532.141241
14807.580544,5000,1537.554779
14802.898603,5000,1542.223199
14816.079563,5000,1546.784008
14808.008994,5000,1552.216928
